level,word,sentence
2,abandon,The sailors had to _____ the sinking ship before it went under.
2,abandon,They were forced to _____ the old building when it became unsafe.
2,abandon,She refused to _____ her dream despite the difficulties.
2,abandon,The explorers had to _____ their search when darkness fell.
2,abandon,He decided to _____ his plan after hearing the bad news.
2,abandon,Never _____ hope even when things seem impossible.
2,abandon,The family had to _____ their home during the flood.
2,abandon,She promised never to _____ her friends in times of trouble.
2,abandon,They chose to _____ the project halfway through.
2,abandon,The captain was the last to _____ ship.
1,abate,The storm began to _____ by evening and the winds grew calmer.
1,abate,The pain started to _____ after she took the medicine.
1,abate,His anger began to _____ once he heard the full story.
1,abate,The noise from the street did not _____ until midnight.
1,abate,We waited for the rain to _____ before going outside.
1,abate,The teacher's strict rules helped to _____ the noisy behaviour.
1,abate,The fever finally began to _____ in the morning.
1,abate,The excitement refused to _____ even after the show ended.
1,abate,The flooding will _____ when the river level drops.
1,abate,Her fears started to _____ when she saw friendly faces.
1,abduct,The villain tried to _____ the princess from the castle.
1,abduct,The kidnappers planned to _____ the wealthy businessman.
1,abduct,Nobody should ever try to _____ a child.
1,abduct,The aliens appeared to _____ people in the science fiction film.
1,abduct,The criminal attempted to _____ the witness before the trial.
1,abduct,She was terrified someone might _____ her little brother.
1,abduct,The police prevented the gang from trying to _____ the victim.
1,abduct,They managed to _____ the soldier behind enemy lines.
1,abduct,The wicked queen sent guards to _____ the young prince.
1,abduct,Nobody knew who had tried to _____ the famous scientist.
1,abhor,I _____ cruelty to animals and always speak up against it.
1,abhor,Most people _____ violence and prefer peaceful solutions.
1,abhor,She _____ dishonesty and always tells the truth.
1,abhor,He _____ rudeness and is always polite to everyone.
1,abhor,They _____ bullying and stand up for weaker students.
1,abhor,We should _____ injustice wherever we find it.
1,abhor,The kind teacher _____ any form of cruelty.
1,abhor,She _____ wastefulness and always recycles carefully.
1,abhor,They _____ discrimination and treat everyone equally.
1,abhor,He _____ lying and values honesty above all.
3,aberrant,His _____ behaviour during the lesson surprised his classmates.
3,aberrant,The scientist noticed _____ results in the experiment.
3,aberrant,Her _____ reaction to the news was completely unexpected.
3,aberrant,The _____ pattern in the data suggested something was wrong.
3,aberrant,His _____ conduct was reported to the headteacher.
3,aberrant,The _____ weather patterns worried the meteorologists.
3,aberrant,They observed _____ behaviour in the laboratory animals.
3,aberrant,The _____ growth of the plant indicated poor soil.
3,aberrant,Her _____ response showed she misunderstood the question.
3,aberrant,The _____ test scores required further investigation.
4,aberration,The warm weather in January was an _____ from the usual cold.
4,aberration,Losing the match was just a temporary _____ in their winning streak.
4,aberration,The unusual reading was likely a measurement _____.
4,aberration,His rude comment was an _____ from his normally polite manner.
4,aberration,The error appeared to be a statistical _____ rather than a pattern.
4,aberration,Scoring below 50% was an _____ for the top student.
4,aberration,The scientist dismissed the result as an experimental _____.
4,aberration,Her sudden outburst was an _____ from her usual calm demeanour.
4,aberration,The data showed an _____ that couldn't be explained.
4,aberration,Failing the test was an _____ in his otherwise excellent record.
3,abhorrent,The villain's _____ actions shocked everyone in the village.
3,abhorrent,Most people found his _____ behaviour deeply offensive.
3,abhorrent,The _____ crime was condemned by the entire community.
3,abhorrent,They described the conditions as _____ and unacceptable.
3,abhorrent,Her _____ treatment of animals led to legal action.
3,abhorrent,The _____ smell from the drains made everyone feel ill.
3,abhorrent,They found the idea of war _____  to contemplate.
3,abhorrent,His _____ language shocked all who heard it.
3,abhorrent,The _____ state of the facilities required immediate improvement.
3,abhorrent,The judge called the defendant's actions truly _____.
